Kanji,JLPT,Kunyomi,Onyomi,Indonesian,Contoh 1,Contoh 2
周,JLPT N2,まわ.り,シュウ,Keliling; Sirkuit,円周 (enshuu) - lingkar,周辺 (shuuhen) - keliling; pinggiran kota
材,JLPT N2,,ザイ,Kayu gelondongan; Kayu gelondongan,木材 (mokuzai) - kayu gelondongan; kayu gelondongan,材木 (zaimoku) - kayu; balok kayu
戸,JLPT N2,と,コ,Pintu,戸 (to) - pintu (khususnya gaya Jepang),雨戸 (amado) - penutup badai geser
央,JLPT N2,,オウ,Pusat; Tengah,中央 (chuuou) - pusat; tengah,
券,JLPT N2,,ケン,Tiket,券 (ken) - tiket; kupon,回数券 (kaisuuken) - buku tiket
編,JLPT N2,"あ.む, -あ.み",ヘン,Kompilasi; Merajut,編む (amu) - merajut; mengepang,編集 (henshuu) - penyuntingan; kompilasi
捜,JLPT N2,さが.す,"ソウ, シュ, シュウ",Cari; Temukan,,
竹,JLPT N2,たけ,チク,Bambu,竹 (take) - bambu,
超,JLPT N2,"こ.える, こ.す",チョウ,Melampaui; Super-,超過 (chouka) - berlebih; ​​lebih dari,超過する (choukasuru) - berlebih; ​​lebih dari
並,JLPT N2,"な.み, なみ, なら.べる, なら.ぶ, なら.びに","ヘイ, ホウ",Baris; Dan,並行 (heikou) - (berjalan) berdampingan; sejajar,並木 (namiki) - pohon di tepi jalan; deretan pohon
療,JLPT N2,,リョウ,Sembuhkan; Obati,医療 (iryou) - perawatan medis; pengobatan medis,
採,JLPT N2,と.る,サイ,Pilih; Ambil,採点 (saiten) - pemberian nilai; penilaian,採点する (saitensuru) - pemberian nilai; penilaian
森,JLPT N2,もり,シン,Hutan; Pepohonan,森 (mori) - hutan,森林 (shinrin) - hutan; pepohonan
競,JLPT N2,"きそ.う, せ.る, くら.べる","キョウ, ケイ",Meniru; Bersaing dengan,競馬 (keiba) - pacuan kuda,競技 (kyougi) - permainan; cocok
介,JLPT N2,,カイ,Terjepit; Kerang,厄介 (yakkai) - masalah; beban,紹介 (shoukai) - pengantar; presentasi
根,JLPT N2,"ね, -ね",コン,Akar; Radikal,根 (ne) - akar (tanaman),垣根 (kakine) - pagar tanaman; pagar
販,JLPT N2,,ハン,Pemasaran; Jual,販売 (hanbai) - penjualan; pemasaran,販売する (hanbaisuru) - penjualan; pemasaran
歴,JLPT N2,,"レキ, レッキ",Kurikulum; Kelanjutan,歴史 (rekishi) - sejarah,
将,JLPT N2,"まさ.に, はた, まさ, ひきい.る, もって","ショウ, ソウ",Pemimpin; Komandan,将棋 (shougi) - shogi; catur Jepang,将来 (shourai) - masa depan (biasanya dekat); prospek
幅,JLPT N2,はば,フク,Gulungan gantung; Lebar,幅 (haba) - lebar; luas,
般,JLPT N2,,ハン,Pembawa; Membawa,全般 (zenpan) - (yang) keseluruhan; universal,一般 (ippan) - umum; universal
貿,JLPT N2,,ボウ,Perdagangan; Pertukaran,貿易 (boueki) - perdagangan (luar negeri),貿易する (bouekisuru) - perdagangan (luar negeri)
講,JLPT N2,,コウ,Kuliah; Klub,"講師 (koushi) - dosen  こうし: ichi1, news1, nf03. arti: ichi1, berita1, nf03.","休講 (kyuukou) - Pembatalan kuliah; membatalkan (kuliah, kelas, dll.)"
林,JLPT N2,はやし,リン,Hutan kecil; Hutan,林 (hayashi) - hutan; rimba,山林 (sanrin) - hutan pegunungan; hutan di pegunungan
装,JLPT N2,"よそお.う, よそお.い","ソウ, ショウ",Pakaian; Gaun,包装 (housou) - pengemasan; pembungkusan,服装 (fukusou) - pakaian; busana
諸,JLPT N2,もろ,ショ,Beragam; Banyak,,
劇,JLPT N2,,ゲキ,Drama; Pertunjukan,劇 (geki) - drama; sandiwara,演劇 (engeki) - drama; teater
河,JLPT N2,かわ,カ,Sungai,運河 (unga) - kanal; jalur air,
航,JLPT N2,,コウ,Navigasi; Berlayar,航空 (koukuu) - penerbangan; terbang,
鉄,JLPT N2,くろがね,テツ,Besi,鉄 (tetsu) - besi (Fe),私鉄 (shitetsu) - kereta api swasta
児,JLPT N2,"こ, -こ, -っこ","ジ, ニ, ゲイ",Bayi yang baru lahir; Anak,育児 (ikuji) - perawatan anak; keperawatan,児童 (jidou) - anak-anak; remaja
禁,JLPT N2,,キン,Larangan; Pemblokiran,禁煙 (kinen) - berpantang merokok; berhenti merokok,禁止 (kinshi) - larangan; penghambatan
印,JLPT N2,"しるし, -じるし, しる.す",イン,Cap; Segel,印 (shirushi) - tanda; isyarat,目印 (mejirushi) - tanda; lambang
逆,JLPT N2,"さか, さか.さ, さか.らう","ギャク, ゲキ",Terbalik; Berlawanan,逆 (gyaku) - kebalikan; berlawanan,吃逆 (shakkuri) - cegukan
換,JLPT N2,"か.える, -か.える, か.わる",カン,Pertukaran; Periode,換気 (kanki) - ventilasi,交換 (koukan) - pertukaran; tukar-menukar
久,JLPT N2,ひさ.しい,"キュウ, ク",Sudah lama; cerita lama,永久 (eikyuu) - keabadian; kekekalan,"久しぶり (hisashiburi) - sudah lama (sejak terakhir kali); sudah cukup lama (sejak terakhir kali saya bertemu, mengirim surat, dll., denganmu)"
短,JLPT N2,みじか.い,タン,Singkat; Ringkas,長短 (choutan) - panjang,短期 (tanki) - jangka pendek
油,JLPT N2,あぶら,"ユ, ユウ",Minyak; Lemak,油 (abura) - minyak,灯油 (touyu) - minyak lampu; minyak tanah
暴,JLPT N2,"あば.く, あば.れる","ボウ, バク",Ledakan amarah; Kegilaan,乱暴 (ranbou) - kasar; kejam,暴れる (abareru) - bertindak dengan kekerasan; mengamuk
輪,JLPT N2,わ,リン,Roda; Cincin,輪 (wa) - cincin; lingkaran,車輪 (sharin) - roda (mobil)
占,JLPT N2,"し.める, うらな.う",セン,Ramalan; Meramalkan,占う (uranau) - meramal nasib seseorang; meramalkan,占める (shimeru) - untuk menduduki; untuk memegang
植,JLPT N2,"う.える, う.わる",ショク,Tanaman,植木 (ueki) - semak taman; pohon,植物 (shokubutsu) - tumbuhan; vegetasi
清,JLPT N2,"きよ.い, きよ.まる, きよ.める","セイ, ショウ, シン",Murni; Memurnikan,清い (kiyoi) - jernih; murni,清書 (seisho) - salinan bersih
倍,JLPT N2,,バイ,Ganda; Dua kali,倍 (bai) - dua kali; ganda,
均,JLPT N2,なら.す,キン,Tingkat; Rata-rata,平均 (heikin) - rata-rata; mean,平均する (heikinsuru) - rata-rata; mean
億,JLPT N2,,オク,Seratus juta; 10**8,億 (oku) - 10^8; 100.000.000,
圧,JLPT N2,"お.す, へ.す, おさ.える, お.さえる","アツ, エン, オウ",Tekanan; Dorongan,圧縮 (asshuku) - kompresi; kondensasi,血圧 (ketsuatsu) - tekanan darah
芸,JLPT N2,"う.える, のり, わざ","ゲイ, ウン",Teknik; Seni,文芸 (bungei) - Sastra; seni dan sastra,園芸 (engei) - hortikultura; berkebun
署,JLPT N2,,ショ,Tanda tangan; Kantor pemerintah,署名 (shomei) - tanda tangan,消防署 (shoubousho) - stasiun pemadam kebakaran
伸,JLPT N2,"の.びる, の.ばす, の.べる, の.す",シン,Memperluas; Meregangkan,欠伸 (akubi) - menguap; menguap,"伸ばす (nobasu) - tumbuh panjang (misalnya rambut, kuku)"
停,JLPT N2,"と.める, と.まる",テイ,Berhenti; Menghentikan,停車 (teisha) - berhenti (misalnya kereta api),停止 (teishi) - penangguhan; gangguan
爆,JLPT N2,は.ぜる,バク,Bom; Meledak,爆発 (bakuhatsu) - ledakan; detonasi,爆発する (bakuhatsusuru) - ledakan; detonasi
陸,JLPT N2,おか,"リク, ロク",Tanah; Enam,陸 (riku) - daratan; pantai,大陸 (tairiku) - benua
玉,JLPT N2,"たま, たま-, -だま",ギョク,Permata; Bola,玉 (tama) - bola; bulatan,
波,JLPT N2,なみ,ハ,Ombak; Gelombang,波 (nami) - melambai,電波 (denpa) - gelombang elektromagnetik; gelombang radio
帯,JLPT N2,"お.びる, おび",タイ,Selempang; Sabuk,帯 (obi) - obi; selempang kimono,地帯 (chitai) - daerah; daerah
延,JLPT N2,"の.びる, の.べる, の.べ, の.ばす",エン,Memperpanjang; Peregangan,延期 (enki) - penundaan; penggeledahan,延期する (enkisuru) - penundaan; penggeledahan
羽,JLPT N2,"は, わ, はね",ウ,Bulu; Penghitung untuk burung,羽 (hane) - bulu; jambul,
固,JLPT N2,"かた.める, かた.まる, かた.まり, かた.い",コ,Mengeras; Mengendap,固まる (katamaru) - mengeraskan; memadatkan,
則,JLPT N2,のっと.る,ソク,Aturan; Ikuti,法則 (housoku) - hukum; aturan,規則 (kisoku) - aturan; peraturan
乱,JLPT N2,"みだ.れる, みだ.る, みだ.す, みだ, おさ.める, わた.る","ラン, ロン",Kerusuhan; Perang,乱暴 (ranbou) - kasar; kejam,混乱 (konran) - kekacauan; kerusuhan
普,JLPT N2,"あまね.く, あまねし",フ,Universal; Luas,普段 (fudan) - biasa; kebiasaan,普通 (futsuu) - umum; biasa
測,JLPT N2,はか.る,ソク,Fathom; Rencana,観測 (kansoku) - pengamatan; survei,測量 (sokuryou) - pengukuran; survei
豊,JLPT N2,"ゆた.か, とよ","ホウ, ブ",Berlimpah; Luar biasa,豊富 (houfu) - kelimpahan; kekayaan,
厚,JLPT N2,"あつ.い, あか",コウ,Kental; Berat,厚い (atsui) - tebal; dalam,厚かましい (atsukamashii) - kurang ajar; tidak tahu malu
齢,JLPT N2,"よわい, とし",レイ,Usia,年齢 (nenrei) - usia; tahun,
囲,JLPT N2,"かこ.む, かこ.う, かこ.い",イ,Mengepung; Mengurung,範囲 (hani) - luas; cakupan,囲む (kakomu) - mengelilingi; melingkupi
卒,JLPT N2,"そっ.する, お.える, お.わる, ついに, にわか","ソツ, シュツ",Lulusan; Tentara,"卒業 (sotsugyou) - kelulusan; penyelesaian (misalnya, suatu kursus)","卒業する (sotsugyousuru) - kelulusan; penyelesaian (misalnya, suatu kursus)"
略,JLPT N2,"ほぼ, はぶ.く, おか.す, おさ.める, はかりごと, はか.る",リャク,Singkatan; Penghilangan,略 (hobo) - hampir; kira-kira,略す (ryakusu) - menyingkat; menghilangkan
承,JLPT N2,"うけたまわ.る, う.ける","ショウ, ジョウ",Menyetujui; Mendengar,承る (uketamawaru) - mendengar; diberitahu,承知 (shouchi) - pengetahuan; kesadaran
順,JLPT N2,,ジュン,Patuh; Perintah,順 (jun) - perintah; giliran,順序 (junjo) - urutan; rangkaian
岩,JLPT N2,いわ,ガン,Batu besar; Batu karang,岩 (iwa) - batu; bongkahan batu,溶岩 (yougan) - Lava
練,JLPT N2,"ね.る, ね.り",レン,Latihan; Kilap,訓練 (kunren) - latihan; berlatih,練習 (renshuu) - latihan; berlatih
軽,JLPT N2,"かる.い, かろ.やか, かろ.んじる","ケイ, キョウ, キン",Sedikit; Sepele,"軽い (karui) - ringan (yaitu tidak berat); terasa ringan (yaitu menawarkan sedikit hambatan, bergerak dengan mudah)",
了,JLPT N2,,リョウ,Selesai; Akhiri,終了 (shuuryou) - akhir; tutup,完了 (kanryou) - penyelesaian; kesimpulan
庁,JLPT N2,やくしょ,"チョウ, テイ",Kantor pemerintah,官庁 (kanchou) - kantor pemerintah; badan pemerintah,県庁 (kenchou) - kantor prefektur
城,JLPT N2,しろ,"ジョウ, セイ",Kastil,城 (shiro) - kastil,
患,JLPT N2,わずら.う,カン,Menderita; Penyakit,患者 (kanja) - (a) pasien,
層,JLPT N2,,ソウ,Stratum; Kelas sosial,高層 (kousou) - bertingkat banyak; gedung tinggi,大層 (taisou) - sangat; berlebihan
版,JLPT N2,,ハン,Blok cetak; Pelat cetak,出版 (shuppan) - publikasi,出版する (shuppansuru) - publikasi
令,JLPT N2,,レイ,Perintah; Hukum kuno,命令 (meirei) - perintah; komando,命令する (meireisuru) - perintah; komando
角,JLPT N2,"かど, つの",カク,Sudut; Sudut,"角 (kado) - sudut (misalnya, meja, trotoar)",直角 (chokkaku) - sudut siku-siku; tegak lurus
絡,JLPT N2,"から.む, から.まる",ラク,Terjalin; Melingkar,連絡 (renraku) - untuk menghubungi; untuk berjumpa,連絡する (renrakusuru) - untuk menghubungi; untuk berjumpa
損,JLPT N2,"そこ.なう, そこな.う, -そこ.なう, そこ.ねる, -そこ.ねる",ソン,Kerusakan; Kerugian,損 (son) - kerugian; kerusakan,損得 (sontoku) - kerugian dan keuntungan; kelebihan dan kekurangan
募,JLPT N2,つの.る,ボ,Merekrut; Berkampanye,,
裏,JLPT N2,うら,リ,Belakang; Di tengah,裏 (ura) - bagian bawah (atau sisi lain yang tersembunyi dari pandangan); permukaan bawah,裏口 (uraguchi) - pintu belakang; pintu masuk belakang
仏,JLPT N2,ほとけ,"ブツ, フツ",Buddha; Orang mati,仏 (hotoke) - Buddha; pribadi yang penuh belas kasih,
績,JLPT N2,,セキ,Eksploitasi; Membuka kepompong,実績 (jisseki) - prestasi; hasil aktual,功績 (kouseki) - prestasi; jasa
築,JLPT N2,きず.く,チク,Memproduksi; Membangun,建築 (kenchiku) - konstruksi; arsitektur (bangunan),建築する (kenchikusuru) - konstruksi; arsitektur (bangunan)
貨,JLPT N2,たから,カ,Angkutan Barang; Barang,通貨 (tsuuka) - mata uang,銅貨 (douka) - koin tembaga
混,JLPT N2,"ま.じる, -ま.じり, ま.ざる, ま.ぜる, こ.む",コン,Campur; Padukan,混合 (kongou) - pencampuran; campuran,混乱 (konran) - kekacauan; kerusuhan
昇,JLPT N2,のぼ.る,ショウ,Bangkit,,
池,JLPT N2,いけ,チ,Kolam; Sumur,池 (ike) - kolam,電池 (denchi) - baterai; sel
血,JLPT N2,ち,ケツ,Darah,血 (chi) - darah; hubungan kekerabatan,血圧 (ketsuatsu) - tekanan darah
温,JLPT N2,"あたた.か, あたた.かい, あたた.まる, あたた.める, ぬく",オン,Hangat,温泉 (onsen) - spa; pemandian air panas,温室 (onshitsu) - rumah kaca; rumah hangat
季,JLPT N2,,キ,Musim,四季 (shiki) - empat musim,季節 (kisetsu) - musim
星,JLPT N2,"ほし, -ぼし","セイ, ショウ",Bintang; Titik,星 (hoshi) - bintang; setiap benda langit yang memancarkan (atau memantulkan) cahaya (kecuali matahari dan bulan),衛星 (eisei) - satelit
永,JLPT N2,なが.い,エイ,Keabadian; Panjang,永遠 (eien) - keabadian; kekekalan,永久 (eikyuu) - keabadian; kekekalan
著,JLPT N2,"あらわ.す, いちじる.しい","チョ, チャク",Terkenal; Menerbitkan,著す (arawasu) - menulis; menerbitkan,著者 (chosha) - penulis (biasanya penulis buku tertentu); pengarang
誌,JLPT N2,,シ,Dokumen; Catatan,雑誌 (zasshi) - jurnal; majalah,
庫,JLPT N2,くら,"コ, ク",Gudang; Tempat penyimpanan,車庫 (shako) - garasi; tempat parkir mobil,倉庫 (souko) - gudang; tempat penyimpanan
刊,JLPT N2,,カン,Terbitkan; Ukir,夕刊 (yuukan) - surat kabar sore,
像,JLPT N2,,ゾウ,Patung; Gambar,想像 (souzou) - imajinasi; tebakan,想像する (souzousuru) - imajinasi; tebakan
香,JLPT N2,"か, かお.り, かお.る","コウ, キョウ",Dupa; Aroma,香水 (kousui) - parfum,香り (kaori) - aroma; wewangian
坂,JLPT N2,さか,ハン,Lereng; Kemiringan,坂 (saka) - lereng; bukit,
底,JLPT N2,そこ,テイ,Bagian bawah; Sol,底 (soko) - bagian bawah; sol,徹底 (tettei) - ketelitian; kelengkapan
布,JLPT N2,ぬの,フ,Linen; Kain,布 (nuno) - kain,分布 (bunpu) - distribusi; alokasi
寺,JLPT N2,てら,ジ,Kuil Buddha,寺 (tera) - kuil (Buddha),寺院 (jiin) - kuil
宇,JLPT N2,,ウ,Tepi atap; Atap,宇宙 (uchuu) - alam semesta; kosmos,
巨,JLPT N2,,キョ,Raksasa; Besar,巨大 (kyodai) - besar; raksasa,
震,JLPT N2,"ふる.う, ふる.える",シン,Gempa; Guncang,地震 (jishin) - gempa bumi,震える (furueru) - menggigil; gemetar
希,JLPT N2,まれ,"キ, ケ",Harapan; Memohon,希望 (kibou) - harapan; keinginan,希望する (kibousuru) - harapan; keinginan
触,JLPT N2,"ふ.れる, さわ.る, さわ",ショク,Kontak; Sentuh,触る (sawaru) - menyentuh; merasakan,触れる (fureru) - menyentuh; merasakan
依,JLPT N2,よ.る,"イ, エ",Bergantung pada; Bergantung pada,依頼 (irai) - permintaan; komisi,依ると (yoruto) - menurut
籍,JLPT N2,,セキ,Mendaftar; Daftar domisili,国籍 (kokuseki) - kewarganegaraan; warga negara,書籍 (shoseki) - buku; publikasi
汚,JLPT N2,"けが.す, けが.れる, けが.らわしい, よご.す, よご.れる, きたな.い",オ,Kotor; Mencemari,汚す (yogosu) - mencemari; mengkontaminasi,汚染 (osen) - polusi; kontaminasi
枚,JLPT N2,,"マイ, バイ",Lembaran...; Meja untuk benda atau lembaran tipis dan datar,枚数 (maisuu) - jumlah benda datar,
複,JLPT N2,,フク,Duplikat; Ganda,複写 (fukusha) - salin; gandakan,複数 (fukusuu) - beberapa; jamak
郵,JLPT N2,,ユウ,Pos; pemberhentian kereta pos,郵送 (yuusou) - surat,郵便 (yuubin) - layanan pos; layanan pos
仲,JLPT N2,なか,チュウ,Perantara; Hubungan,仲 (naka) - hubungan; relasi,仲間 (nakama) - perusahaan; rekan
栄,JLPT N2,"さか.える, は.え, -ば.え, は.える, え","エイ, ヨウ",Berkembang; Kemakmuran,栄養 (eiyou) - nutrisi; gizi,
札,JLPT N2,ふだ,サツ,Label; Uang kertas,札 (satsu) - uang kertas,改札 (kaisatsu) - pemeriksaan tiket
板,JLPT N2,いた,"ハン, バン",Papan; Lempeng,板 (ita) - papan; balok,看板 (kanban) - papan nama; tanda
骨,JLPT N2,ほね,コツ,Kerangka; Tulang,骨 (hone) - tulang,骨折 (kossetsu) - patah tulang
傾,JLPT N2,"かたむ.く, かたむ.ける, かたぶ.く, かた.げる, かし.げる",ケイ,Miring; Condong,傾く (katamuku) - condong ke arah; miring,傾向 (keikou) - kecenderungan; tren
届,JLPT N2,"とど.ける, -とど.け, とど.く",カイ,Kirim; Jangkau,届く (todoku) - mencapai; tiba,届ける (todokeru) - untuk menyampaikan; untuk meneruskan
巻,JLPT N2,"ま.く, まき, ま.き","カン, ケン",Gulungan; Jilid,巻く (maku) - melilit; menggulung,寝巻き (nemaki) - pakaian tidur; baju tidur
燃,JLPT N2,"も.える, も.やす, も.す",ネン,Terbakar; Berkobar,燃える (moeru) - untuk membakar; untuk menjadi bersemangat,
跡,JLPT N2,あと,セキ,Jejak; Tanda,足跡 (ashiato) - jejak kaki,
包,JLPT N2,"つつ.む, くる.む",ホウ,Bungkus; Kemas,包丁 (houchou) - pisau dapur; pisau ukir,包装 (housou) - pengemasan; pembungkusan
駐,JLPT N2,,チュウ,Persinggahan; Bertempat tinggal,駐車 (chuusha) - parkir (misalnya mobil),駐車場 (chuushajou) - tempat parkir; lahan parkir
弱,JLPT N2,"よわ.い, よわ.る, よわ.まる, よわ.める",ジャク,Lemah; Rapuh,弱点 (jakuten) - titik lemah; kelemahan,弱い (yowai) - lemah; rapuh
紹,JLPT N2,,ショウ,Memperkenalkan; Mewarisi,紹介 (shoukai) - pengantar; presentasi,紹介する (shoukaisuru) - pengantar; presentasi
雇,JLPT N2,やと.う,コ,Mempekerjakan; Mengangkat,雇う (yatou) - untuk mempekerjakan,
替,JLPT N2,"か.える, か.え-, か.わる",タイ,Pertukaran; Cadangan,為替 (kawase) - wesel pos; draf,両替 (ryougae) - kembalian; penukaran uang
預,JLPT N2,"あず.ける, あず.かる",ヨ,Setoran; Penitipan,預かる (azukaru) - untuk menjaga; untuk merawat,預ける (azukeru) - menyerahkan ke dalam tahanan; meninggalkan (seorang anak) dalam perawatan
焼,JLPT N2,"や.く, や.き, や.き-, -や.き, や.ける",ショウ,Panggang; Bakar,焼く (yaku) - untuk membakar,焼ける (yakeru) - terbakar; dipanggang
簡,JLPT N2,"えら.ぶ, ふだ","カン, ケン",Kesederhanaan; Singkat,簡単 (kantan) - sederhana; mudah,
章,JLPT N2,,ショウ,Lencana; Bab,章 (shou) - bab; bagian,文章 (bunshou) - kalimat; artikel
臓,JLPT N2,はらわた,ゾウ,Jeroan; Organ dalam,心臓 (shinzou) - jantung,
律,JLPT N2,,"リツ, リチ, レツ",Ritme; Hukum,規律 (kiritsu) - ketertiban; ketaatan,法律 (houritsu) - hukum
贈,JLPT N2,おく.る,"ゾウ, ソウ",Hadiah; Mengirim,,
照,JLPT N2,"て.る, て.らす, て.れる",ショウ,Menerangi; Bersinar,対照 (taishou) - kontras; antitesis,照る (teru) - untuk bersinar
薄,JLPT N2,"うす.い, うす-, -うす, うす.める, うす.まる, うす.らぐ, うす.ら-, うす.れる, すすき",ハク,Encerkan; Tipis,薄い (usui) - tipis,薄暗い (usugurai) - redup; suram
群,JLPT N2,"む.れる, む.れ, むら, むら.がる",グン,Kawanan; Kelompok,群れ (mure) - kelompok; kerumunan,
秒,JLPT N2,,ビョウ,Kedua (1; 60 menit),秒 (byou) - kedua (menit ke-60),
奥,JLPT N2,"おく, おく.まる, くま",オウ,Jantung; Bagian Dalam,奥 (oku) - interior; bagian dalam,奥さん (okusan) - istri; istrimu
詰,JLPT N2,"つ.める, つ.め, -づ.め, つ.まる, つ.む","キツ, キチ",Dipadatkan; Dekat,缶詰 (kanzume) - pengemasan (dalam kaleng); pengalengan,瓶詰め (binzume) - pembotolan; dikemas dalam botol
双,JLPT N2,"ふた, たぐい, ならぶ, ふたつ",ソウ,Pasangan; Himpunan,双子 (futago) - kembar; kembar,
刺,JLPT N2,"さ.す, さ.さる, さ.し, さし, とげ",シ,Duri; Tusuk,名刺 (meishi) - kartu nama,"刺身 (sashimi) - sashimi (ikan, kerang, atau krustasea mentah yang diiris tipis)"
純,JLPT N2,,ジュン,Asli; Kemurnian,純情 (junjou) - hati yang murni; kepolosan,純粋 (junsui) - murni; sejati
翌,JLPT N2,,ヨク,Berikut ini; Selanjutnya,,
快,JLPT N2,こころよ.い,カイ,Ceria; Menyenangkan,快晴 (kaisei) - cuaca cerah; cuaca tanpa awan,快適 (kaiteki) - menyenangkan; nyaman
片,JLPT N2,"かた-, かた",ヘン,Satu sisi; Lembaran,破片 (hahen) - pecahan; serpihan,片道 (katamichi) - perjalanan satu arah
敬,JLPT N2,うやま.う,"ケイ, キョウ",Kekaguman; Rasa hormat,敬語 (keigo) - gelar kehormatan; istilah penghormatan,敬う (uyamau) - untuk menunjukkan rasa hormat; untuk menghormati
悩,JLPT N2,"なや.む, なや.ます, なや.ましい, なやみ",ノウ,Masalah; Kekhawatiran,悩む (nayamu) - merasa khawatir; merasa gelisah,
泉,JLPT N2,いずみ,セン,Mata air; Air mancur,泉 (izumi) - mata air; air mancur,温泉 (onsen) - spa; pemandian air panas
皮,JLPT N2,かわ,ヒ,Kulit binatang; Kulit asli,皮 (kawa) - kulit; bulu,皮膚 (hifu) - kulit
漁,JLPT N2,あさ.る,"ギョ, リョウ",Memancing; Perikanan,漁業 (gyogyou) - industri perikanan,漁師 (ryoushi) - nelayan
荒,JLPT N2,"あら.い, あら-, あ.れる, あ.らす, -あ.らし, すさ.む",コウ,Hancur lebur; Kasar,荒い (arai) - kasar; tidak sopan,
貯,JLPT N2,"た.める, たくわ.える",チョ,Tabungan; Toko,貯蔵 (chozou) - penyimpanan; pengawetan,貯金 (chokin) - menyisihkan uang; tabungan
硬,JLPT N2,かた.い,コウ,Kaku; Keras,硬貨 (kouka) - koin,硬い (katai) - keras; padat
埋,JLPT N2,"う.める, う.まる, う.もれる, うず.める, うず.まる, い.ける",マイ,Mengubur; Terisi penuh,"埋める (umeru) - mengubur (misalnya, di dalam tanah)",
柱,JLPT N2,はしら,チュウ,Pilar; Tiang,電柱 (denchuu) - tiang utilitas; tiang listrik,
祭,JLPT N2,"まつ.る, まつ.り, まつり",サイ,Ritual; Memanjatkan doa,祭 (matsuri) - festival; pesta,祭る (matsuru) - mendewakan; mengabadikan
袋,JLPT N2,ふくろ,"タイ, ダイ",Karung; Tas,袋 (fukuro) - tas; karung,足袋 (tabi) - tabi; kaus kaki Jepang (dengan jari kaki terpisah)
筆,JLPT N2,ふで,ヒツ,Kuas tulis; Menulis,筆 (fude) - kuas tulis,筆記 (hikki) - (mencatat); menyalin
訓,JLPT N2,"おし.える, よ.む, くん.ずる","クン, キン",Instruksi; Membaca aksara Jepang,訓 (kun) - Penafsiran (penulisan) karakter Tionghoa oleh penutur asli bahasa Jepang.,訓練 (kunren) - latihan; berlatih
浴,JLPT N2,"あ.びる, あ.びせる",ヨク,Mandi; Diberkahi dengan,浴衣 (yukata) - yukata (kimono katun ringan yang dikenakan di musim panas atau digunakan sebagai jubah mandi),海水浴 (kaisuiyoku) - berenang di laut; mandi di laut
童,JLPT N2,わらべ,ドウ,Anak di bawah umur; Anak,童話 (douwa) - dongeng,児童 (jidou) - anak-anak; remaja
宝,JLPT N2,たから,ホウ,Harta Karun; Kekayaan,宝 (takara) - harta karun,宝石 (houseki) - permata; batu mulia
封,JLPT N2,,"フウ, ホウ",Segel; Penutupan,封筒 (fuutou) - amplop,
胸,JLPT N2,"むね, むな-",キョウ,Dada; Payudara,胸 (mune) - dada; payudara,
砂,JLPT N2,すな,"サ, シャ",Pasir,砂 (suna) - pasir; kerikil,砂漠 (sabaku) - gurun
塩,JLPT N2,しお,エン,Garam,塩 (shio) - garam (yaitu natrium klorida); garam dapur,食塩 (shokuen) - garam meja
賢,JLPT N2,かしこ.い,ケン,Cerdas; Bijaksana,賢い (kashikoi) - bijaksana; cerdas,
腕,JLPT N2,うで,ワン,Lengan; Kemampuan,腕 (ude) - lengan,
兆,JLPT N2,"きざ.す, きざ.し",チョウ,Pertanda; 10**12,,
床,JLPT N2,"とこ, ゆか",ショウ,Ranjang; Lantai,床 (yuka) - lantai,起床 (kishou) - bangun; beranjak dari tempat tidur
毛,JLPT N2,け,モウ,Bulu; Rambut,毛 (ke) - rambut,毛皮 (kegawa) - bulu; kulit
緑,JLPT N2,みどり,"リョク, ロク",Hijau,緑 (midori) - hijau,
尊,JLPT N2,"たっと.い, とうと.い, たっと.ぶ, とうと.ぶ",ソン,Dihormati; Berharga,尊重 (sonchou) - rasa hormat; penghargaan,尊敬 (sonkei) - rasa hormat; penghargaan
祝,JLPT N2,いわ.う,"シュク, シュウ",Rayakan; Beri ucapan selamat,祝日 (shukujitsu) - hari libur nasional; hari libur umum,祝い (iwai) - ucapan selamat; ucapan selamat
柔,JLPT N2,"やわ.らか, やわ.らかい, やわ, やわ.ら","ジュウ, ニュウ",Lembut; Kelemahan,柔道 (juudou) - judo,柔らかい (yawarakai) - lembut; lunak
殿,JLPT N2,"との, -どの","デン, テン",Tuan; Aula,,
濃,JLPT N2,こ.い,ノウ,Pekat; Kental,濃度 (noudo) - konsentrasi; ketebalan,濃い (koi) - warna pekat; gelap
液,JLPT N2,,エキ,Cairan; Cair,液体 (ekitai) - cairan; fluida,血液 (ketsueki) - darah
衣,JLPT N2,"ころも, きぬ, -ぎ","イ, エ",Pakaian; Baju,浴衣 (yukata) - yukata (kimono katun ringan yang dikenakan di musim panas atau digunakan sebagai jubah mandi),衣服 (ifuku) - pakaian
肩,JLPT N2,かた,ケン,Bahu,肩 (kata) - bahu,
零,JLPT N2,"ぜろ, こぼ.す, こぼ.れる",レイ,Nol; Tumpahan,零 (rei) - nol; tidak ada,零す (kobosu) - menumpahkan; menjatuhkan
幼,JLPT N2,おさな.い,ヨウ,Masa bayi; Masa kanak-kanak,幼稚 (youchi) - masa bayi,幼児 (youji) - bayi; balita
荷,JLPT N2,に,カ,Bagasi; Beban di pundak,荷物 (nimotsu) - koper; bagasi,
泊,JLPT N2,"と.まる, と.める",ハク,Bermalam; Berlabuh di,宿泊 (shukuhaku) - penginapan,泊める (tomeru) - memberi tempat berlindung; memberi penginapan
